X,Y
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
902,265
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
852,288
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1214,518
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
1277,322
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
86,759
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
1189,308
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
861,640
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
554,1041
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
431,926
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
545,886
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1128,830
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1202,933
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1195,1103
1258,868
1258,868
1258,868
1258,868
1258,868
1258,868
1258,868
1258,868
1258,868
1258,868
